Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-3.2552E-1	3.5986E-1	-3.2552E-1	2.8000E+2
-3.2540E-1	3.5840E-1	-3.2540E-1	5.8500E+2
-3.2528E-1	3.5791E-1	-3.2528E-1	8.4000E+2
-3.2515E-1	3.5718E-1	-3.2515E-1	1.2020E+3
-3.2503E-1	3.5938E-1	-3.2503E-1	8.9700E+2
-3.2491E-1	3.5840E-1	-3.2491E-1	1.1010E+3
-3.2479E-1	3.5596E-1	-3.2479E-1	8.7100E+2
-3.2479E-1	3.5498E-1	-3.2479E-1	1.0840E+3
-3.2467E-1	3.5474E-1	-3.2467E-1	1.1190E+3
-3.2454E-1	3.5400E-1	-3.2454E-1	1.3050E+3
-3.2442E-1	3.5352E-1	-3.2442E-1	1.5480E+3
-3.2430E-1	3.5278E-1	-3.2430E-1	1.0280E+3
-3.2418E-1	3.5156E-1	-3.2418E-1	1.0560E+3
-3.2406E-1	3.5278E-1	-3.2406E-1	8.4700E+2
-3.2393E-1	3.5083E-1	-3.2393E-1	7.7300E+2
-3.2393E-1	3.4912E-1	-3.2393E-1	1.1410E+3
-3.2381E-1	3.4766E-1	-3.2381E-1	1.0900E+2
-3.2369E-1	3.4790E-1	-3.2369E-1	9.0200E+2
-3.2357E-1	3.4619E-1	-3.2357E-1	1.2080E+3
-3.2345E-1	3.4668E-1	-3.2345E-1	8.8800E+2
-3.2332E-1	3.4399E-1	-3.2332E-1	6.9100E+2
-3.2320E-1	3.4473E-1	-3.2320E-1	6.1100E+2
-3.2320E-1	3.4326E-1	-3.2320E-1	6.6900E+2
-3.2308E-1	3.4448E-1	-3.2308E-1	4.2000E+2
-3.2296E-1	3.4326E-1	-3.2296E-1	1.0980E+3
-3.2283E-1	3.4253E-1	-3.2283E-1	9.7900E+2
-3.2271E-1	3.4082E-1	-3.2271E-1	4.1300E+2
-3.2259E-1	3.4229E-1	-3.2259E-1	9.8800E+2
-3.2247E-1	3.4302E-1	-3.2247E-1	9.9100E+2
-3.2235E-1	3.4033E-1	-3.2235E-1	7.5100E+2
-3.2235E-1	3.3984E-1	-3.2235E-1	6.3500E+2
-3.2222E-1	3.3960E-1	-3.2222E-1	4.2900E+2
-3.2210E-1	3.3740E-1	-3.2210E-1	3.2700E+2
-3.2198E-1	3.3521E-1	-3.2198E-1	4.9300E+2
-3.2186E-1	3.3740E-1	-3.2186E-1	6.9100E+2
-3.2174E-1	3.3447E-1	-3.2174E-1	9.8900E+2
-3.2161E-1	3.3398E-1	-3.2161E-1	1.1390E+3
-3.2161E-1	3.3276E-1	-3.2161E-1	1.1940E+3
-3.2149E-1	3.3252E-1	-3.2149E-1	8.3500E+2
-3.2137E-1	3.3301E-1	-3.2137E-1	9.7000E+2
-3.2125E-1	3.3203E-1	-3.2125E-1	2.2200E+2
-3.2113E-1	3.3008E-1	-3.2113E-1	1.2010E+3
-3.2100E-1	3.3105E-1	-3.2100E-1	4.3600E+2
-3.2088E-1	3.3154E-1	-3.2088E-1	9.2400E+2
-3.2076E-1	3.3276E-1	-3.2076E-1	1.0740E+3
-3.2076E-1	3.2910E-1	-3.2076E-1	5.2000E+1
-3.2064E-1	3.2837E-1	-3.2064E-1	5.3100E+2
-3.2052E-1	3.2910E-1	-3.2052E-1	3.7000E+1
-3.2039E-1	3.2764E-1	-3.2039E-1	2.8500E+2
-3.2027E-1	3.2861E-1	-3.2027E-1	2.8800E+2
-3.2015E-1	3.2520E-1	-3.2015E-1	7.4400E+2
-3.2003E-1	3.2446E-1	-3.2003E-1	3.6700E+2
-3.2003E-1	3.2617E-1	-3.2003E-1	8.8400E+2
-3.1990E-1	3.2349E-1	-3.1990E-1	7.5500E+2
-3.1978E-1	3.2324E-1	-3.1978E-1	1.3700E+2
-3.1966E-1	3.2300E-1	-3.1966E-1	8.5000E+2
-3.1954E-1	3.2300E-1	-3.1954E-1	1.2210E+3
-3.1942E-1	3.2178E-1	-3.1942E-1	-3.5200E+2
-3.1929E-1	3.2153E-1	-3.1929E-1	1.0840E+3
-3.1917E-1	3.2080E-1	-3.1917E-1	3.6900E+2
-3.1917E-1	3.2007E-1	-3.1917E-1	3.0000E+0
-3.1905E-1	3.1982E-1	-3.1905E-1	6.2000E+2
-3.1893E-1	3.1885E-1	-3.1893E-1	8.9800E+2
-3.1881E-1	3.1665E-1	-3.1881E-1	5.1100E+2
-3.1868E-1	3.1812E-1	-3.1868E-1	2.9200E+2
-3.1856E-1	3.1665E-1	-3.1856E-1	4.3400E+2
-3.1844E-1	3.1665E-1	-3.1844E-1	7.1000E+1
-3.1832E-1	3.1592E-1	-3.1832E-1	4.4000E+2
-3.1832E-1	3.1567E-1	-3.1832E-1	9.8100E+2
-3.1820E-1	3.1396E-1	-3.1820E-1	8.9900E+2
-3.1807E-1	3.1299E-1	-3.1807E-1	8.5900E+2
-3.1795E-1	3.1250E-1	-3.1795E-1	7.7000E+2
-3.1783E-1	3.1177E-1	-3.1783E-1	1.0660E+3
-3.1771E-1	3.1104E-1	-3.1771E-1	1.1430E+3
-3.1759E-1	3.1104E-1	-3.1759E-1	1.1660E+3
-3.1746E-1	3.0933E-1	-3.1746E-1	3.9800E+2
-3.1746E-1	3.0957E-1	-3.1746E-1	5.6300E+2
-3.1734E-1	3.0884E-1	-3.1734E-1	-3.4800E+2
-3.1722E-1	3.0884E-1	-3.1722E-1	5.3300E+2
-3.1710E-1	3.0811E-1	-3.1710E-1	6.9300E+2
-3.1697E-1	3.0688E-1	-3.1697E-1	5.1500E+2
-3.1685E-1	3.0640E-1	-3.1685E-1	4.3500E+2
-3.1673E-1	3.0542E-1	-3.1673E-1	2.7800E+2
-3.1673E-1	3.0591E-1	-3.1673E-1	9.5800E+2
-3.1661E-1	3.0615E-1	-3.1661E-1	4.7700E+2
-3.1649E-1	3.0469E-1	-3.1649E-1	5.0500E+2
-3.1636E-1	3.0298E-1	-3.1636E-1	5.2700E+2
-3.1624E-1	3.0273E-1	-3.1624E-1	7.7100E+2
-3.1612E-1	3.0371E-1	-3.1612E-1	7.4400E+2
-3.1600E-1	3.0273E-1	-3.1600E-1	1.0440E+3
-3.1600E-1	3.0127E-1	-3.1600E-1	7.0400E+2
-3.1588E-1	3.0078E-1	-3.1588E-1	9.9300E+2
-3.1575E-1	3.0054E-1	-3.1575E-1	8.3300E+2
-3.1563E-1	3.0127E-1	-3.1563E-1	6.0900E+2
-3.1551E-1	3.0029E-1	-3.1551E-1	1.9200E+2
-3.1539E-1	2.9980E-1	-3.1539E-1	4.6000E+2
-3.1527E-1	2.9907E-1	-3.1527E-1	6.7900E+2
-3.1514E-1	2.9785E-1	-3.1514E-1	9.0800E+2
-3.1514E-1	2.9736E-1	-3.1514E-1	5.8400E+2
-3.1502E-1	2.9614E-1	-3.1502E-1	-4.6000E+1
-3.1490E-1	2.9565E-1	-3.1490E-1	7.3800E+2
-3.1478E-1	2.9639E-1	-3.1478E-1	1.1100E+3
-3.1466E-1	2.9565E-1	-3.1466E-1	3.1800E+2
-3.1453E-1	2.9492E-1	-3.1453E-1	2.0000E+2
-3.1441E-1	2.9443E-1	-3.1441E-1	4.9600E+2
-3.1441E-1	2.9492E-1	-3.1441E-1	-9.9000E+1
-3.1429E-1	2.9126E-1	-3.1429E-1	4.7000E+2
-3.1417E-1	2.9004E-1	-3.1417E-1	5.9100E+2
-3.1405E-1	2.9224E-1	-3.1405E-1	6.0200E+2
-3.1392E-1	2.8882E-1	-3.1392E-1	7.3800E+2
-3.1380E-1	2.8882E-1	-3.1380E-1	6.7300E+2
-3.1368E-1	2.9028E-1	-3.1368E-1	8.8000E+1
-3.1356E-1	2.8906E-1	-3.1356E-1	9.7000E+2
-3.1356E-1	2.8882E-1	-3.1356E-1	1.0330E+3
-3.1343E-1	2.8882E-1	-3.1343E-1	8.3100E+2
-3.1331E-1	2.8711E-1	-3.1331E-1	5.8000E+2
-3.1319E-1	2.8906E-1	-3.1319E-1	4.5600E+2
-3.1307E-1	2.8735E-1	-3.1307E-1	9.6200E+2
-3.1295E-1	2.8760E-1	-3.1295E-1	8.9300E+2
-3.1282E-1	2.8564E-1	-3.1282E-1	6.6600E+2
-3.1282E-1	2.8589E-1	-3.1282E-1	7.3700E+2
-3.1270E-1	2.8540E-1	-3.1270E-1	2.1600E+2
-3.1258E-1	2.8564E-1	-3.1258E-1	1.9700E+2
-3.1246E-1	2.8564E-1	-3.1246E-1	1.2390E+3
-3.1234E-1	2.8247E-1	-3.1234E-1	4.1400E+2
-3.1221E-1	2.8320E-1	-3.1221E-1	1.9700E+2
-3.1209E-1	2.8345E-1	-3.1209E-1	4.7000E+2
-3.1197E-1	2.8247E-1	-3.1197E-1	2.9900E+2
-3.1197E-1	2.8198E-1	-3.1197E-1	7.9300E+2
-3.1185E-1	2.8125E-1	-3.1185E-1	2.9000E+2
-3.1173E-1	2.8125E-1	-3.1173E-1	9.0400E+2
-3.1160E-1	2.8052E-1	-3.1160E-1	9.2100E+2
-3.1148E-1	2.7954E-1	-3.1148E-1	7.0000E+2
