Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-5.0034E-1	6.9263E-1	-5.0034E-1	5.6700E+2
-5.0021E-1	6.9067E-1	-5.0021E-1	4.6900E+2
-4.9997E-1	6.8921E-1	-4.9997E-1	5.5300E+2
-4.9985E-1	6.8628E-1	-4.9985E-1	1.6530E+3
-4.9973E-1	6.8433E-1	-4.9973E-1	7.3200E+2
-4.9960E-1	6.8066E-1	-4.9960E-1	7.2600E+2
-4.9936E-1	6.8091E-1	-4.9936E-1	1.3700E+3
-4.9924E-1	6.7749E-1	-4.9924E-1	5.8200E+2
-4.9911E-1	6.7627E-1	-4.9911E-1	5.0600E+2
-4.9887E-1	6.7529E-1	-4.9887E-1	4.6600E+2
-4.9875E-1	6.7480E-1	-4.9875E-1	1.5000E+3
-4.9863E-1	6.7432E-1	-4.9863E-1	7.2800E+2
-4.9838E-1	6.7432E-1	-4.9838E-1	8.6800E+2
-4.9826E-1	6.7041E-1	-4.9826E-1	7.9500E+2
-4.9814E-1	6.7212E-1	-4.9814E-1	3.3900E+2
-4.9802E-1	6.6919E-1	-4.9802E-1	2.1400E+2
-4.9789E-1	6.6870E-1	-4.9789E-1	4.6900E+2
-4.9765E-1	6.6626E-1	-4.9765E-1	2.1800E+2
-4.9753E-1	6.6626E-1	-4.9753E-1	2.7100E+2
-4.9741E-1	6.6675E-1	-4.9741E-1	1.8500E+2
-4.9716E-1	6.6602E-1	-4.9716E-1	1.9100E+2
-4.9704E-1	6.6431E-1	-4.9704E-1	-2.3200E+2
-4.9692E-1	6.6309E-1	-4.9692E-1	8.8000E+1
-4.9667E-1	6.6211E-1	-4.9667E-1	5.9600E+2
-4.9655E-1	6.6333E-1	-4.9655E-1	5.9100E+2
-4.9643E-1	6.6187E-1	-4.9643E-1	3.0900E+2
-4.9631E-1	6.6260E-1	-4.9631E-1	1.0500E+2
-4.9606E-1	6.6064E-1	-4.9606E-1	4.3600E+2
-4.9594E-1	6.5991E-1	-4.9594E-1	5.0000E+1
-4.9582E-1	6.6016E-1	-4.9582E-1	-4.5900E+2
-4.9570E-1	6.5820E-1	-4.9570E-1	5.5100E+2
-4.9545E-1	6.5820E-1	-4.9545E-1	-3.2000E+2
-4.9533E-1	6.5967E-1	-4.9533E-1	-4.5100E+2
-4.9521E-1	6.5771E-1	-4.9521E-1	-1.5500E+2
-4.9496E-1	6.5820E-1	-4.9496E-1	-5.3300E+2
-4.9484E-1	6.5771E-1	-4.9484E-1	3.6000E+1
-4.9472E-1	6.5820E-1	-4.9472E-1	-1.1700E+2
-4.9460E-1	6.5674E-1	-4.9460E-1	8.3000E+1
-4.9435E-1	6.5894E-1	-4.9435E-1	-1.1200E+2
-4.9423E-1	6.5601E-1	-4.9423E-1	5.2200E+2
-4.9411E-1	6.5894E-1	-4.9411E-1	-2.3700E+2
-4.9399E-1	6.5845E-1	-4.9399E-1	3.4500E+2
-4.9374E-1	6.5601E-1	-4.9374E-1	-3.7400E+2
-4.9362E-1	6.5845E-1	-4.9362E-1	2.0900E+2
-4.9350E-1	6.5820E-1	-4.9350E-1	-5.0000E+0
-4.9326E-1	6.5845E-1	-4.9326E-1	-2.7200E+2
-4.9313E-1	6.5845E-1	-4.9313E-1	-5.3800E+2
-4.9301E-1	6.5918E-1	-4.9301E-1	-5.5600E+2
-4.9289E-1	6.5820E-1	-4.9289E-1	-6.7800E+2
-4.9264E-1	6.5918E-1	-4.9264E-1	-2.3400E+2
-4.9252E-1	6.6309E-1	-4.9252E-1	-5.4000E+2
-4.9240E-1	6.6113E-1	-4.9240E-1	-4.4500E+2
-4.9228E-1	6.6406E-1	-4.9228E-1	-8.5300E+2
-4.9203E-1	6.6553E-1	-4.9203E-1	-1.0110E+3
-4.9191E-1	6.6626E-1	-4.9191E-1	-7.6600E+2
-4.9179E-1	6.6846E-1	-4.9179E-1	-1.3940E+3
-4.9155E-1	6.7188E-1	-4.9155E-1	-1.3010E+3
-4.9142E-1	6.7261E-1	-4.9142E-1	-1.5940E+3
-4.9130E-1	6.7920E-1	-4.9130E-1	-2.1890E+3
-4.9118E-1	6.8311E-1	-4.9118E-1	-1.6470E+3
-4.9094E-1	6.8433E-1	-4.9094E-1	-2.5080E+3
-4.9081E-1	6.8774E-1	-4.9081E-1	-2.3460E+3
-4.9069E-1	6.9409E-1	-4.9069E-1	-1.7300E+3
-4.9057E-1	6.9775E-1	-4.9057E-1	-1.6270E+3
