Aux out [V]	Aux in [V]	PDH out [a.u.]
-2.3286E-1	3.5718E-1	-1.3740E+3
-2.3091E-1	3.7329E-1	-1.0930E+3
-2.2896E-1	3.8672E-1	-1.2940E+3
-2.2700E-1	4.0527E-1	-1.3670E+3
-2.2505E-1	4.2261E-1	-1.6650E+3
-2.2285E-1	4.3799E-1	-1.3520E+3
-2.2090E-1	4.5801E-1	-1.4050E+3
-2.1895E-1	4.7607E-1	-2.1200E+3
-2.1699E-1	4.9927E-1	-1.2830E+3
-2.1504E-1	5.1831E-1	-1.9130E+3
-2.1309E-1	5.3711E-1	-1.4010E+3
-2.1089E-1	5.5884E-1	-1.6150E+3
-2.0894E-1	5.7690E-1	-1.5440E+3
-2.0698E-1	5.9619E-1	-1.5380E+3
-2.0503E-1	6.1353E-1	-1.7200E+3
-2.0308E-1	6.3379E-1	-1.6760E+3
-2.0088E-1	6.5259E-1	-1.4380E+3
-1.9893E-1	6.6870E-1	-1.3760E+3
-1.9697E-1	6.8481E-1	-9.5000E+2
-1.9502E-1	7.0093E-1	-1.5540E+3
-1.9307E-1	7.1631E-1	-1.4460E+3
-1.9111E-1	7.3022E-1	-1.0230E+3
-1.8892E-1	7.4341E-1	-1.5250E+3
-1.8696E-1	7.5635E-1	-1.0190E+3
-1.8501E-1	7.6953E-1	-1.2230E+3
-1.8306E-1	7.8076E-1	-9.5900E+2
-1.8110E-1	7.9199E-1	-1.0810E+3
-1.7890E-1	8.0225E-1	-9.9300E+2
-1.7695E-1	8.1030E-1	-1.1130E+3
-1.7500E-1	8.1738E-1	-7.6600E+2
-1.7305E-1	8.2544E-1	-2.5200E+2
-1.7109E-1	8.3447E-1	-1.2160E+3
-1.6914E-1	8.3813E-1	-2.5900E+2
-1.6694E-1	8.4595E-1	-7.4300E+2
-1.6499E-1	8.4937E-1	-6.5100E+2
-1.6303E-1	8.5474E-1	-1.0050E+3
-1.6108E-1	8.5986E-1	-7.8200E+2
-1.5913E-1	8.6206E-1	-5.5100E+2
-1.5693E-1	8.6621E-1	-6.0200E+2
-1.5498E-1	8.6938E-1	-8.2400E+2
-1.5302E-1	8.7183E-1	-7.0100E+2
-1.5107E-1	8.7476E-1	5.2000E+1
-1.4912E-1	8.7671E-1	1.5000E+1
-1.4716E-1	8.7646E-1	-4.7400E+2
-1.4497E-1	8.7866E-1	6.7000E+1
-1.4301E-1	8.7817E-1	-1.9900E+2
-1.4106E-1	8.7891E-1	-5.3600E+2
-1.3911E-1	8.8306E-1	-1.1300E+2
-1.3715E-1	8.8379E-1	-1.9400E+2
-1.3496E-1	8.8184E-1	-4.4700E+2
-1.3300E-1	8.8501E-1	-3.7200E+2
-1.3105E-1	8.8428E-1	-6.0000E+2
-1.2910E-1	8.8550E-1	-3.0000E+1
-1.2714E-1	8.8501E-1	-4.9900E+2
-1.2519E-1	8.8721E-1	-1.6500E+2
-1.2299E-1	8.8477E-1	-6.7300E+2
