Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
1.3874E-1	4.5215E-1	1.3874E-1	1.2720E+3
1.3886E-1	4.5264E-1	1.3886E-1	7.2200E+2
1.3899E-1	4.5215E-1	1.3899E-1	1.7290E+3
1.3899E-1	4.5142E-1	1.3899E-1	1.2790E+3
1.3911E-1	4.5093E-1	1.3911E-1	1.2170E+3
1.3923E-1	4.5239E-1	1.3923E-1	1.1680E+3
1.3923E-1	4.5264E-1	1.3923E-1	1.2490E+3
1.3935E-1	4.5044E-1	1.3935E-1	7.4200E+2
1.3947E-1	4.5020E-1	1.3947E-1	1.0480E+3
1.3960E-1	4.5215E-1	1.3960E-1	9.7200E+2
1.3960E-1	4.5044E-1	1.3960E-1	1.1370E+3
1.3972E-1	4.5239E-1	1.3972E-1	1.6960E+3
1.3984E-1	4.4946E-1	1.3984E-1	1.4610E+3
1.3984E-1	4.4897E-1	1.3984E-1	1.0760E+3
1.3996E-1	4.5068E-1	1.3996E-1	1.2560E+3
1.4008E-1	4.4751E-1	1.4008E-1	1.5520E+3
1.4008E-1	4.4897E-1	1.4008E-1	9.9500E+2
1.4021E-1	4.5117E-1	1.4021E-1	1.0550E+3
1.4033E-1	4.4922E-1	1.4033E-1	1.5270E+3
1.4045E-1	4.4946E-1	1.4045E-1	1.4310E+3
1.4045E-1	4.4824E-1	1.4045E-1	1.1900E+3
1.4057E-1	4.4873E-1	1.4057E-1	1.1640E+3
1.4069E-1	4.4775E-1	1.4069E-1	1.7650E+3
1.4069E-1	4.4849E-1	1.4069E-1	1.0990E+3
1.4082E-1	4.4873E-1	1.4082E-1	1.3450E+3
1.4094E-1	4.4897E-1	1.4094E-1	1.2770E+3
1.4106E-1	4.4775E-1	1.4106E-1	1.6140E+3
1.4106E-1	4.4775E-1	1.4106E-1	1.5690E+3
1.4118E-1	4.4629E-1	1.4118E-1	1.1900E+3
1.4131E-1	4.4824E-1	1.4131E-1	1.4320E+3
1.4131E-1	4.4556E-1	1.4131E-1	1.2490E+3
1.4143E-1	4.4629E-1	1.4143E-1	1.2410E+3
1.4155E-1	4.4946E-1	1.4155E-1	9.4800E+2
1.4167E-1	4.4751E-1	1.4167E-1	4.6000E+2
1.4167E-1	4.4727E-1	1.4167E-1	1.5180E+3
1.4179E-1	4.4604E-1	1.4179E-1	1.4830E+3
1.4192E-1	4.4629E-1	1.4192E-1	1.1520E+3
1.4192E-1	4.4727E-1	1.4192E-1	6.8700E+2
1.4204E-1	4.4751E-1	1.4204E-1	1.0290E+3
